epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,279.9,0.74448,1.79955,1.27992,0.56951,0.70702,0.70612,0.51878,0.87511,1.46478,1.5369,0.00013867,0.00013867,0.00013867
2,548.027,0.79705,1.24155,1.29198,0.67743,0.69164,0.74313,0.57525,0.83489,1.29381,1.41105,0.000268507,0.000268507,0.000268507
3,814.45,0.8257,1.23463,1.30771,0.74129,0.67089,0.76419,0.59427,0.82051,1.22685,1.38201,0.00038917,0.00038917,0.00038917
4,1080.82,0.79588,1.1623,1.28721,0.81052,0.79285,0.8475,0.67717,0.74718,0.84163,1.37317,0.000375717,0.000375717,0.000375717
5,1346.7,0.75901,1.03841,1.2568,0.77243,0.85779,0.88673,0.73449,0.65275,0.6788,1.22694,0.000361956,0.000361956,0.000361956
6,1610.99,0.71957,0.93518,1.23283,0.80619,0.84418,0.88544,0.75372,0.60552,0.6718,1.19446,0.000348195,0.000348195,0.000348195
7,1876.19,0.70305,0.88633,1.22344,0.823,0.85173,0.90247,0.77212,0.60482,0.65428,1.19312,0.000334434,0.000334434,0.000334434
8,2142.05,0.6817,0.81745,1.21064,0.86435,0.89501,0.92221,0.79623,0.5884,0.54278,1.15345,0.000320673,0.000320673,0.000320673
9,2408.03,0.65058,0.77571,1.18473,0.86468,0.8693,0.91835,0.79962,0.5419,0.54179,1.13933,0.000306912,0.000306912,0.000306912
10,2672.86,0.64349,0.7471,1.18111,0.89091,0.89408,0.93012,0.81623,0.51454,0.49306,1.09671,0.000293151,0.000293151,0.000293151
11,2938.9,0.62637,0.71447,1.16753,0.88869,0.9102,0.93013,0.81572,0.53569,0.48504,1.11612,0.00027939,0.00027939,0.00027939
12,3203.2,0.61188,0.68576,1.15755,0.89978,0.91256,0.94105,0.82809,0.5156,0.45446,1.1177,0.000265629,0.000265629,0.000265629
13,3467.78,0.60407,0.65718,1.15665,0.89794,0.90748,0.92569,0.8245,0.48368,0.43894,1.08124,0.000251868,0.000251868,0.000251868
14,3731.39,0.58121,0.61942,1.13952,0.89863,0.91623,0.93619,0.83231,0.49418,0.44125,1.07735,0.000238107,0.000238107,0.000238107
15,3995.86,0.58308,0.60785,1.13694,0.92276,0.92921,0.951,0.85356,0.47727,0.40583,1.06286,0.000224346,0.000224346,0.000224346
16,4261.96,0.57608,0.59728,1.13312,0.8892,0.93818,0.94791,0.85069,0.46995,0.4074,1.0636,0.000210585,0.000210585,0.000210585
17,4525.39,0.56725,0.58314,1.12692,0.90046,0.91534,0.94784,0.85428,0.45375,0.42296,1.04934,0.000196824,0.000196824,0.000196824
18,4791.39,0.5548,0.56183,1.12222,0.91117,0.94224,0.95127,0.85588,0.46707,0.38998,1.06146,0.000183063,0.000183063,0.000183063
19,5056.45,0.53271,0.53076,1.10732,0.91616,0.94712,0.96336,0.87049,0.45716,0.3727,1.05737,0.000169302,0.000169302,0.000169302
20,5322.43,0.53494,0.51704,1.10719,0.91653,0.94567,0.95789,0.87333,0.44113,0.36311,1.04164,0.000155541,0.000155541,0.000155541
21,5589.13,0.39152,0.37279,1.01948,0.88979,0.94772,0.95936,0.87136,0.44278,0.352,1.04396,0.00014178,0.00014178,0.00014178
22,5853.87,0.38077,0.33703,1.01195,0.92465,0.95053,0.9667,0.8858,0.42871,0.33396,1.02711,0.000128019,0.000128019,0.000128019
23,6118.74,0.36439,0.32123,0.99743,0.92734,0.9356,0.96172,0.88052,0.42942,0.33399,1.02541,0.000114258,0.000114258,0.000114258
24,6382.66,0.35542,0.30663,0.99052,0.91604,0.9607,0.9625,0.88673,0.40535,0.307,1.00756,0.000100497,0.000100497,0.000100497
25,6646.3,0.33918,0.30287,0.97764,0.9335,0.94493,0.96394,0.88937,0.41738,0.31597,1.0212,8.6736e-05,8.6736e-05,8.6736e-05
26,6911.24,0.33231,0.27507,0.97659,0.9533,0.95319,0.97211,0.89785,0.39207,0.29152,1.00049,7.2975e-05,7.2975e-05,7.2975e-05
27,7175.54,0.32015,0.26926,0.9666,0.93833,0.9432,0.96767,0.89703,0.39525,0.29891,1.00249,5.9214e-05,5.9214e-05,5.9214e-05
28,7439.52,0.31458,0.24493,0.9582,0.94432,0.95132,0.96802,0.89714,0.38913,0.28434,0.99255,4.5453e-05,4.5453e-05,4.5453e-05
29,7702.77,0.30001,0.22951,0.94802,0.93635,0.95824,0.96845,0.90112,0.38919,0.28201,0.99682,3.1692e-05,3.1692e-05,3.1692e-05
30,7966.96,0.29081,0.2203,0.93791,0.94126,0.96405,0.97058,0.90326,0.38146,0.27491,0.9882,1.7931e-05,1.7931e-05,1.7931e-05
